headline,time,roberta_neg,roberta_neu,roberta_pos,compound,label
Don't fret Solana crew. Sam Bank-MAN Friedman will get us out of this bear market. All hail Sam!,1666323806,0.014504187740385532,0.257894903421402,0.7276009917259216,0.7080563371921424,1
Solana Lab's funds are not on FTX,1668007364,0.4181841015815735,0.5680167078971863,0.013799235224723816,-0.954256958675581,-1
Does FTX/Alameda really own 10% of the SOL supply??,1667965089,0.2226831316947937,0.7543606162071228,0.02295633591711521,-0.8835885684723203,-1
So will FTX dump?,1668056267,0.16855958104133606,0.8059740662574768,0.02546636201441288,-0.8432813243903253,-1
Thoughts shared about SBF from a credible source.,1668052329,0.017665572464466095,0.8524261713027954,0.12990829348564148,0.010201617712441019,1
FTX Solana Wallets,1667866500,0.043258413672447205,0.8662409782409668,0.09050053358078003,-0.23290504387908811,-1
Binance not buying FTX,1668028791,0.6258724927902222,0.35702279210090637,0.01710464619100094,-0.956292987661744,-1
Can someone give me the tldr on FTX’s effects on Sol? Hard to keep up with everything this week …,1668047683,0.6440468430519104,0.32798439264297485,0.027968820184469223,-0.930411961453753,-1
Why is sol so cheap rn? Is it to do with ftx?,1668078042,0.630836546421051,0.35163259506225586,0.01753077283501625,-0.9554307635050525,-1
You probably shouldn't stake on Binance or FTX unless you want Solana to become very centralized,1667926808,0.5240008234977722,0.45445361733436584,0.021545540541410446,-0.9389609171082827,-1
FTX Token ( FTT ) is too centralized. Risky for investors.,1667896742,0.7815107703208923,0.20601752400398254,0.012471760623157024,-0.9718204548196587,-1
How to unwrap sollet BTC without FTX?,1667961844,0.15616631507873535,0.8146501779556274,0.029183506965637207,-0.8133655354680226,-1
"can we petition to sue Solana, ftx, and others",1668069123,0.28655609488487244,0.6900918483734131,0.023352116346359253,-0.9012963428208209,-1
"Solana Labs, A US Corp, Didn’t Have Any Assets On FTX Exchange",1668066933,0.5033649206161499,0.4731883406639099,0.023446688428521156,-0.9320464402742704,-1
"Afaik, the FTX fiasco only affects SOL's price, not the actual viability of the blockchain. What's with the doomers? Am I missing something?",1668053382,0.7419115900993347,0.24723826348781586,0.010850171558558941,-0.974736042662262,-1
Thoughts on SBF??,1668021281,0.07201705873012543,0.8834217190742493,0.04456125944852829,-0.5731958232450606,-1
FTX Hack Sparks Revolution at Serum DEX as Solana Devs Plot Alameda's Ouster,1668311787,0.041139665991067886,0.8942814469337463,0.06457892060279846,-0.3245643735291759,-1
‎NFT and Chill: FTX and the Difference Between CeFi vs DeFi on Apple Podcasts,1668545778,0.014181527309119701,0.7532818913459778,0.23253656923770905,0.17505587847492948,1
Is FTX US fine? Is it totally separate from the mess happening at FTX International?,1668360476,0.316785991191864,0.6326958537101746,0.05051807686686516,-0.8119442568468972,-1
why does you logo has so many similarities with FTX's logo?,1668411233,0.06945537030696869,0.6799112558364868,0.2506333589553833,0.03364550301413122,1
"Do not login to FTX, malware possible",1668226855,0.8059588670730591,0.18809209764003754,0.005949110258370638,-0.9867236605452988,-1
"Why is Anatoly so quite, what’s his take and what exchange of messages did he have with SBF recently?",1668326902,0.15691789984703064,0.8127856850624084,0.030296338722109795,-0.8078762118082259,-1
what exchange are you guys using to buy solana now that ftx drama happened?,1668186116,0.12083340436220169,0.8607041239738464,0.0184625294059515,-0.8489960616833824,-1
"ftx, doj, biden ,scam, sbf.",1668266437,0.22409243881702423,0.6777334213256836,0.09817404299974442,-0.5971895275537281,-1
Anyone thoughts on FTX bankruptcy?,1668189559,0.14901615679264069,0.8276017904281616,0.023382144048810005,-0.8409896911502418,-1
Does anyone have the wallet addresses for FTX?,1668569717,0.06584199517965317,0.9023600220680237,0.03179791569709778,-0.6425364765691917,-1
"CZ is in talks to "" reduce further cascading negative effects of FTX, Binance is forming an industry recovery fund, to help projects who are otherwise strong, but in a liquidity crisis."" Solana fits this description. Anyone from here plan to join and ask about him assisting Solana? Link here.",1668425228,0.0404459610581398,0.782454788684845,0.17709924280643463,-0.008820552042766827,-1
How it feels to trade #crypto when #FTX went jnsolvent. #SBF #viral #lol,1668370309,0.04948398843407631,0.7240874767303467,0.22642861306667328,0.04708195693205888,1
Get funds out of FTX US as well if you haven't,1668141474,0.12423349171876907,0.8145024180412292,0.06126400828361511,-0.6084670491615519,-1
I Wonder who Made Money on the FTX Trades,1668121163,0.17014992237091064,0.7930036783218384,0.0368463508784771,-0.785148557009114,-1
Official Solana Ecosystem updates page regarding the ongoing FTX situation,1668405037,0.04710749536752701,0.9250680208206177,0.027824506163597107,-0.6008456008244314,-1
Millions of $$$ are getting drained out of FTX delete the app immediately,1668228834,0.9582120180130005,0.038941800594329834,0.0028462675400078297,-0.9941922246195412,-1
You can still withdraw Sol from FTX US. They just filed for Bankruptcy,1668180801,0.3096064329147339,0.6528167128562927,0.037576887756586075,-0.8541896355166974,-1
'The King is dead': Inside the fall of FTX,1668347898,0.490021675825119,0.49204105138778687,0.01793714426457882,-0.9467504100425157,-1
Possible trick to get funds out of FTX US right now,1668132157,0.16469259560108185,0.8060705065727234,0.029236868023872375,-0.8200026813118321,-1
FTX impacts vs BTC decline,1668552793,0.1829734891653061,0.7890102863311768,0.028016218915581703,-0.8391989925923481,-1
"Last week was a horrible one for the whole Solana ecosystem and lending has been impacted quite significantly by the FTX drama as well. Nevertheless, keep calm and never stop buidling.",1668440693,0.7363867163658142,0.22910059988498688,0.03451266884803772,-0.9207179569066978,-1
"Don't get discouraged. As a Sol fan, you should celebrate the fall of FTX. Let us explain",1668454758,0.03748710826039314,0.3492931127548218,0.6132198572158813,0.5556100347363654,1
Star Atlas Impact From FTX:,1668217021,0.033668313175439835,0.9219045042991638,0.044427141547203064,-0.38669008068561955,-1
"After what happened to FTX, What exchanges would you rather stay away from",1668535927,0.33690592646598816,0.6467263698577881,0.01636773906648159,-0.9373007425871452,-1
Solana developers at FTXs office compound,1668288018,0.02961219847202301,0.9195765256881714,0.05081130564212799,-0.3173921166224542,-1
"After FTX, is this the next kingpin to fall?",1668437941,0.0460662879049778,0.927140474319458,0.026793180033564568,-0.6054685245918383,-1
Do NOT access anything from FTX,1668233355,0.8901560306549072,0.10524556785821915,0.004598448984324932,-0.9902622621541867,-1
Solana Discloses Losses From FTX Collapse - The Defiant,1668518959,0.21969282627105713,0.7523613572120667,0.027945851907134056,-0.8592049731730705,-1
Perspective of what it was like to be under SBF,1668428672,0.15842877328395844,0.795586109161377,0.045985084027051926,-0.7290540908254628,-1
“They seem to be moving everything”. FTX fully hacked. All funds being drained. SOL full dump likely impending,1668229904,0.7879236340522766,0.20258267223834991,0.009493627585470676,-0.9786008201035177,-1
Multicoin Capital letter to LPs regarding FTX; Lots of SOLANA Information.,1668135013,0.039247188717126846,0.8947770595550537,0.06597564369440079,-0.3070151561365674,-1
Star Atlas Impacted by FTX Insolvency:,1668216730,0.04386141896247864,0.9177999496459961,0.03833866864442825,-0.4952549091403107,-1
Solana in FTX,1668482416,0.07808098196983337,0.8116368055343628,0.11028221249580383,-0.3042413476473512,-1
We made a NFT collection to help projects recover from the FTX collapse.,1669057563,0.03954995423555374,0.7297951579093933,0.2306547313928604,0.08428446678342155,1
Hackers Laundering Hundreds Of Millions They Stole From The FTX,1669072023,0.683491051197052,0.30702388286590576,0.009485097602009773,-0.9768274668536469,-1
How did FTX actually support Solana?,1669207972,0.20098045468330383,0.7810800671577454,0.017939487472176552,-0.9001151276282341,-1
Longterm - FTX no longer hanging over solana will be a good thing.,1668791145,0.008175620809197426,0.2478133887052536,0.7440109848976135,0.7331418459280636,1
The FTX examiner was a company based in the metaverse.,1669191429,0.04896620288491249,0.9200578927993774,0.03097604215145111,-0.5815447507021448,-1
Does FTX/Alameda has still SOL? Or do they sold it already?,1668702788,0.1082170233130455,0.8720964789390564,0.01968657597899437,-0.8263966468705325,-1
Mainly just wanted to put this on record but Solana is going right back to prices before the FTX incident.,1669190118,0.043660543859004974,0.8587491512298584,0.09759022295475006,-0.21150911513173504,-1
Solana Loses 70% TVL As The FTX Contagion Spreads,1668880724,0.6780954003334045,0.310319185256958,0.01158546470105648,-0.9716163089861616,-1
Solana Endures 'Crucible' as FTX Connection Deletes 70% of TVL - The Defiant,1668786434,0.19202709197998047,0.7701717019081116,0.03780118003487587,-0.7977229637466069,-1
"Hey guys! Just saw an amazing review of Solana’s tech, ecosystem, and recent exposure to the FTX/Alameda bankruptcy. Definitely a must-see and please subscribe for more updates on the project! 🚀",1668706524,0.0010311998194083571,0.012871412560343742,0.9860973954200745,0.9850527495324672,1
Ripple is buying FTX assets,1668919869,0.04277228191494942,0.8938193321228027,0.06340839713811874,-0.33941711498257626,-1
Selling of FTX allocation,1669030961,0.1831478625535965,0.7817777395248413,0.0350743867456913,-0.8041977487129418,-1
„FTX CEO asked OKX for +$2 billion before contacting Binance - then he called back hours later and asked for even more“,1669027874,0.20521162450313568,0.7088828682899475,0.0859055444598198,-0.6190053046465215,-1
"[Coinbureau] Solana Update: FTX, Alameda &amp; Impacts on SOL!",1668702255,0.016042374074459076,0.9001986980438232,0.0837588980793953,-0.07698423612844663,-1
People called Solana a VC coin because it was backed by SBF. Now SBF is gone (SOLs are frozen for many years because of Chapter11) and people are still complaining. 🤣,1668866813,0.8098562359809875,0.17748354375362396,0.012660257518291473,-0.9719476853754416,-1
